"problem","file","exit_code","classification","status","rows","cols","iterations","time_ms","objective","reference","objective_diff","objective_tol","objective_match","error"
"SCORPION","E:\LinearProgramingSolver\netlib\scorpion.mps","0","ok","optimal","668","1026","382","1286","1878.124822738107","1878.1248227","3.810737325693481e-08","0.0018781248227","true",""
"SCSD1","E:\LinearProgramingSolver\netlib\scsd1.mps","0","ok","optimal","154","914","132","336","8.666666674333364","8.6666666743","3.33635341576155e-11","8.6666666743e-06","true",""
"SCSD6","E:\LinearProgramingSolver\netlib\scsd6.mps","0","ok","optimal","294","1644","356","2534","50.50000007826237","50.500000078","2.62367905179417e-10","5.0500000078e-05","true",""
"SCSD8","E:\LinearProgramingSolver\netlib\scsd8.mps","0","ok","optimal","794","3544","1564","49727","904.9999999254644","904.9999999299999","4.535536390903872e-09","0.0009049999999299999","true",""
"SEBA","E:\LinearProgramingSolver\netlib\seba.mps","0","ok","optimal","1536","2564","439","7890","15711.6","15711.6","1.818989403545856e-12","0.0157116","true",""
"SHARE1B","E:\LinearProgramingSolver\netlib\share1b.mps","0","ok","optimal","206","431","373","317","-76589.31857922727","-76589.318579","2.272718120366335e-07","0.07658931857899999","true",""
"SHARE2B","E:\LinearProgramingSolver\netlib\share2b.mps","0","ok","optimal","109","188","174","54","-415.732240741422","-415.73224074","1.421994966221973e-09","0.00041573224074","true",""
"SHELL","E:\LinearProgramingSolver\netlib\shell.mps","0","ok","optimal","1437","3212","664","15794","1208825346","1208825346","0","1208.825346","true",""
"STAIR","E:\LinearProgramingSolver\netlib\stair.mps","0","ok","optimal","653","1126","577","13592","-251.2669511929632","-251.26695119","2.963247425213922e-09","0.00025126695119","true",""
"STANDATA","E:\LinearProgramingSolver\netlib\standata.mps","0","ok","optimal","639","1714","78","802","1257.6995","1257.6995","2.273736754432321e-13","0.0012576995","true",""
"STANDMPS","E:\LinearProgramingSolver\netlib\standmps.mps","0","ok","optimal","855","1930","363","4615","1406.017499999999","1406.0175","4.547473508864641e-13","0.0014060175","true",""
"STOCFOR1","E:\LinearProgramingSolver\netlib\stocfor1.mps","0","ok","optimal","180","291","175","78","-41131.97621943642","-41131.976219","4.364192136563361e-07","0.04113197621899999","true",""
"TUFF","E:\LinearProgramingSolver\netlib\tuff.mps","0","ok","optimal","654","1243","1202","6805","0.2921477650936127","0.29214776509","3.612721233281491e-12","1e-06","true",""
"VTP.BASE","E:\LinearProgramingSolver\netlib\vtp.base.mps","0","ok","optimal","336","540","178","81","129831.4624613612","129831.46246","1.36122980620712e-06","0.12983146246","true",""
